RTC End Time Stamp,Zone Name,Zone PTID,RTC Zonal LBMP,RTC Zonal Losses,RTC Zonal Congestion,RTC Zonal Price Version
3/1/2024 4:00,LONGIL,61762,35.84,1.58,0,1
3/1/2024 4:00,MHK VL,61756,35.25,0.99,0,1
3/1/2024 4:00,MILLWD,61759,35.73,1.47,0,1
3/1/2024 4:00,N.Y.C.,61761,35.73,1.47,0,1
3/1/2024 4:00,NORTH,61755,34.7,0.44,0,1
3/1/2024 4:00,WEST,61752,32.24,-2.02,0,1
3/1/2024 4:15,CAPITL,61757,38.77,1.53,0,1
3/1/2024 4:15,CENTRL,61754,36.39,-0.86,0,1
3/1/2024 4:15,DUNWOD,61760,38.88,1.64,0,1
3/1/2024 4:15,GENESE,61753,35.3,-1.94,0,1
3/1/2024 4:15,HUD VL,61758,38.84,1.6,0,1
3/1/2024 4:15,LONGIL,61762,38.88,1.64,0,1
3/1/2024 4:15,MHK VL,61756,38.32,1.08,0,1
3/1/2024 4:15,MILLWD,61759,38.84,1.6,0,1
3/1/2024 4:15,N.Y.C.,61761,38.88,1.64,0,1
3/1/2024 4:15,NORTH,61755,37.84,0.59,0,1
3/1/2024 4:15,WEST,61752,34.93,-2.31,0,1
3/1/2024 4:30,CAPITL,61757,41.35,1.55,0,1
3/1/2024 4:30,CENTRL,61754,39.05,-0.76,0,1
3/1/2024 4:30,DUNWOD,61760,41.51,1.71,0,1
3/1/2024 4:30,GENESE,61753,37.65,-2.15,0,1
3/1/2024 4:30,HUD VL,61758,41.47,1.67,0,1
3/1/2024 4:30,LONGIL,61762,41.47,1.67,0,1
3/1/2024 4:30,MHK VL,61756,41.04,1.24,0,1
3/1/2024 4:30,MILLWD,61759,41.47,1.67,0,1
3/1/2024 4:30,N.Y.C.,61761,41.43,1.63,0,1
3/1/2024 4:30,NORTH,61755,40.48,0.68,0,1
3/1/2024 4:30,WEST,61752,37.17,-2.63,0,1
3/1/2024 4:45,CAPITL,61757,45.22,1.7,0,1
3/1/2024 4:45,CENTRL,61754,42.69,-0.83,0,1
3/1/2024 4:45,DUNWOD,61760,45.35,1.83,0,1
3/1/2024 4:45,GENESE,61753,40.86,-2.66,0,1
3/1/2024 4:45,HUD VL,61758,45.35,1.83,0,1
3/1/2024 4:45,LONGIL,61762,45.3,1.78,0,1
3/1/2024 4:45,MHK VL,61756,44.87,1.35,0,1
3/1/2024 4:45,MILLWD,61759,45.35,1.83,0,1
3/1/2024 4:45,N.Y.C.,61761,45.3,1.78,0,1
3/1/2024 4:45,NORTH,61755,44.39,0.87,0,1
3/1/2024 4:45,WEST,61752,40.17,-3.35,0,1
3/1/2024 5:00,CAPITL,61757,38.81,1.53,0,1
3/1/2024 5:00,CENTRL,61754,36.8,-0.49,0,1
3/1/2024 5:00,DUNWOD,61760,39.07,1.79,0,1
3/1/2024 5:00,GENESE,61753,35.42,-1.86,0,1
3/1/2024 5:00,HUD VL,61758,39.03,1.75,0,1
3/1/2024 5:00,LONGIL,61762,38.96,1.68,0,1
3/1/2024 5:00,MHK VL,61756,38.55,1.27,0,1
3/1/2024 5:00,MILLWD,61759,39.03,1.75,0,1
3/1/2024 5:00,N.Y.C.,61761,39.03,1.75,0,1
3/1/2024 5:00,NORTH,61755,37.8,0.52,0,1
3/1/2024 5:00,WEST,61752,35.05,-2.24,0,1
3/1/2024 5:15,CAPITL,61757,38.93,1.57,0,1
3/1/2024 5:15,CENTRL,61754,36.8,-0.56,0,1
